name|Гречаноподіївська територіальна громада
region|Дніпропетровська область
id|id155
link|http://decentralization.gov.ua/region/common/id/1265
1|2
Найменування показника|Значення показника
Чисельність населення станом на 1 січня 2017р  У тому числі дітей|3728.0
Дошкільного віку|290
Шкільного віку|372
Кількість населених пунктів ,що входять до складу спроможної територіальної громади|13.0
Обсяг доходів (розрахунковий) спроможної територіальної громади,тис.гривень|30145200.0
Площа території спроможної територіальної громади, кВ кілометрів|206468.0
Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування  у тому числі|18.0
загальноосвітніх навчальних закладів I-III ступеня|4.0
дошкільних навчальних закладів|2
закладів культури|7
фельдшерських пунктів|5
Наявність приміщень для розміщення державних органів, установ,що здійснюють повноваження щодо|6.0
правоохоронної діяльності|наявне
реєстрації актів цивільного стану та майнових прав|наявне
пенсійного забезпечення|наявне
соціального захисту|наявне
пожежної безпеки|наявне
казначейського обслуговування|Наявне
Наявність приміщень для розміщення органів місцевого самоврядування|2.0
